
2024/07/27 (23:37:55) | ===> btop++ v.1.3.2
2024/08/02 (19:10:07) | ===> btop++ v.1.3.2
2024/08/02 (19:10:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (19:12:30) | ===> btop++ v.1.3.2
2024/08/02 (19:12:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (19:13:03) | ===> btop++ v.1.3.2
2024/08/02 (19:13:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (19:14:58) | ===> btop++ v.1.3.2
2024/08/02 (19:14:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (20:08:35) | ===> btop++ v.1.3.2
2024/08/02 (20:08:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (20:09:04) | ===> btop++ v.1.3.2
2024/08/02 (20:09:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (20:11:23) | ===> btop++ v.1.3.2
2024/08/02 (20:11:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (20:17:50) | ===> btop++ v.1.3.2
2024/08/02 (20:17:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (22:00:34) | ===> btop++ v.1.3.2
2024/08/02 (22:00:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (22:23:38) | ===> btop++ v.1.3.2
2024/08/02 (22:23:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (22:23:45) | ===> btop++ v.1.3.2
2024/08/02 (22:23:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (13:18:54) | ===> btop++ v.1.3.2
2024/08/04 (13:18:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (17:51:54) | ===> btop++ v.1.3.2
2024/08/04 (17:51:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (20:46:54) | ===> btop++ v.1.3.2
2024/08/04 (20:46:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:18:45) | ===> btop++ v.1.3.2
2024/08/05 (12:18:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:19:10) | ===> btop++ v.1.3.2
2024/08/05 (12:19:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:22:56) | ===> btop++ v.1.3.2
2024/08/05 (12:22:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:23:14) | ===> btop++ v.1.3.2
2024/08/05 (12:23:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:26:32) | ===> btop++ v.1.3.2
2024/08/05 (12:26:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:30:02) | ===> btop++ v.1.3.2
2024/08/05 (12:30:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:52:33) | ===> btop++ v.1.3.2
2024/08/05 (12:52:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:52:40) | ===> btop++ v.1.3.2
2024/08/05 (12:52:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:55:09) | ===> btop++ v.1.3.2
2024/08/05 (12:55:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:57:45) | ===> btop++ v.1.3.2
2024/08/05 (12:57:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (12:58:43) | ===> btop++ v.1.3.2
2024/08/05 (12:58:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (13:00:40) | ===> btop++ v.1.3.2
2024/08/05 (13:00:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (13:01:52) | ===> btop++ v.1.3.2
2024/08/05 (13:01:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (13:03:41) | ===> btop++ v.1.3.2
2024/08/05 (13:03:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (19:35:19) | ===> btop++ v.1.3.2
2024/08/05 (19:35:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
